@RELATION emotion_activation
@ATTRIBUTE rough_mean1 NUMERIC
@ATTRIBUTE rough_mean2 NUMERIC
@ATTRIBUTE rough_mean3 NUMERIC
@ATTRIBUTE rough_std NUMERIC
@ATTRIBUTE fluct_max NUMERIC
@ATTRIBUTE fluct_mean NUMERIC
@ATTRIBUTE key_mean NUMERIC
@ATTRIBUTE modality NUMERIC
@ATTRIBUTE sp_nov_mean NUMERIC
@ATTRIBUTE hcdf_mean NUMERIC
@ATTRIBUTE activation {-1, 1}

@DATA
0.56841,0.3943,0.96317,-0.17311,-0.43162,-0.48628,-1.5764,-0.01387,1.131,0.24533,1
-0.94626,-0.92151,-0.89494,-0.72293,-0.3348,0.022954,0.50474,0.80792,-0.51338,0.54519,-1
-0.83777,-0.87667,-0.62679,-0.95401,-1.0655,-0.9508,-0.23302,0.69527,-0.99855,-0.71341,-1
0.70833,0.62606,0.84108,0.011929,-0.13317,0.45662,0.59144,0.10215,1.0799,1.0329,-1
-0.24638,0.043905,-0.99815,1.126,-0.19612,-0.50793,-0.35751,-0.54889,-0.57366,-1.233,-1
-0.093208,-0.01871,-0.28348,0.1133,-0.30977,0.063998,-0.74777,-0.12093,0.45494,-0.26355,-1
0.383,0.44589,0.16752,0.3653,-0.82804,-0.43821,-0.33831,-0.30239,-1.3318,1.4255,-1
-0.91258,-0.92772,-0.75634,-0.84367,-0.36891,0.049513,-0.74302,-0.029289,0.20309,0.13252,1
1.1312,1.464,0.092957,2.5097,-0.42011,0.14446,-0.25253,0.17047,-0.27825,1.6221,1
0.11848,0.26101,-0.27763,0.5659,1.2871,-0.71813,-0.24595,0.81693,-0.48714,1.2452,1
-1.2424,-1.2404,-1.0894,-1.1592,0.12684,-0.59634,-0.81522,-0.13123,0.20661,-1.5433,-1
0.58141,0.56657,0.54579,0.18349,0.56317,1.5542,0.46153,0.63067,-0.27813,0.1336,1
-0.64243,-0.75578,-0.25565,-1.1706,-0.55254,-0.6083,-0.23044,-0.022494,1.277,0.43782,-1
-0.49816,-0.4982,-0.43401,-0.048447,-0.759,-0.86148,0.02459,-0.0026261,-0.88604,1.0375,1
-0.034729,0.011239,-0.15292,-0.067935,-0.37628,0.064141,-0.16726,-0.41456,0.31342,0.42916,-1
0.67448,0.78752,0.28914,1.4973,-0.94,-0.58262,0.80393,1.5239,-1.0465,-0.5849,-1
0.74785,0.60673,1.0322,-0.1213,-0.21137,0.93599,0.47262,0.6354,1.9607,-0.073615,1
-0.26092,-0.2216,-0.33125,-0.20758,-1.1392,-0.95826,0.16269,0.28758,0.66015,-0.051932,-1
0.41196,0.64748,-0.27222,0.98366,-0.67372,-0.46593,-0.055695,0.42693,1.25,0.98468,-1
0.53612,0.56697,0.38643,0.49991,-0.51029,-0.28223,-0.36507,-1.15,-1.1301,1.8247,-1
-0.85578,-0.92096,-0.57314,-0.89428,-0.31767,-0.42453,0.50304,-0.63123,-0.37936,-0.57248,1
0.44276,0.29094,0.79437,-0.060764,-1.1007,-0.7421,-0.063629,0.31499,-0.40065,-0.18303,1
2.26,2.2489,2.0039,1.6626,-0.41304,0.048631,0.78296,0.055841,0.28996,0.20928,-1
-0.50118,-0.51748,-0.3933,-0.43096,-0.28774,-0.27345,2.4813,2.2685,-0.3959,-0.77648,-1
-0.8863,-0.98754,-0.5021,-1.1457,-0.34424,-0.6758,-1.7386,0.73089,-0.37643,0.092979,-1
-0.35936,-0.36534,-0.29682,-0.35112,-0.11055,-0.60498,0.40984,0.65854,-0.81254,1.0095,1
0.71646,1.0539,-0.2856,2.6117,0.19291,0.44822,0.34264,1.3194,-0.031393,0.80798,-1
-0.10129,-0.091253,-0.11583,-0.11317,-0.42165,-0.36481,1.2375,-0.13116,0.35631,0.65203,1
-0.15488,-0.23847,0.088587,-0.3592,-0.78025,-0.48693,-0.35895,0.2217,0.48795,-1.0003,1
-1.0132,-1.0336,-0.82942,-1.1227,-1.008,-0.85351,-0.66466,-0.83646,-0.84613,-1.3902,1
-0.30574,-0.25495,-0.39853,-0.54171,-0.86555,-0.86207,-0.19212,-1.4697,-1.016,-1.1559,1
-0.36722,-0.13013,-0.95839,0.55617,-0.32891,-0.2208,-0.80333,2.1769,-0.53944,-0.85957,1
1.5547,1.9564,0.28329,2.1171,1.1252,0.20088,-0.12655,1.118,2.6287,0.65629,-1
0.29247,0.20091,0.49959,0.30371,0.63679,0.81629,2.0832,-1.1961,1.1295,-0.074836,-1
-0.76827,-0.81339,-0.55036,-0.55871,-0.48176,-0.16465,0.62914,-2.8639,-0.58791,-1.7119,-1
-0.70833,-0.70254,-0.63544,-0.13445,-0.063696,-0.30547,2.0253,-2.6093,0.60828,-0.44667,1
0.48283,0.44446,0.52742,0.31981,-0.23669,-0.86872,-0.4515,-0.42224,-0.19691,0.0068924,1
-0.49865,-0.51005,-0.40366,-0.47867,-0.92383,-0.61542,-0.59667,-0.21204,0.68778,0.50711,-1
-1.1748,-1.2279,-0.88373,-1.1293,-1.177,-0.96594,1.4229,1.5222,-1.9233,-1.6603,-1
0.29718,0.35568,0.10409,0.45648,-0.95109,-0.5589,0.95623,1.0233,-1.3705,-0.11186,1
0.45509,0.34271,0.69755,0.24248,-1.0966,-0.80851,1.8619,0.0049376,-1.4654,-0.33424,1
2.6795,2.8778,1.8117,2.2478,-0.21357,-0.24168,-0.79094,-0.47022,-0.99956,0.90685,1
