@RELATION emotion_valence
@ATTRIBUTE rough_mean1 NUMERIC
@ATTRIBUTE rough_mean2 NUMERIC
@ATTRIBUTE rough_mean3 NUMERIC
@ATTRIBUTE rough_std NUMERIC
@ATTRIBUTE fluct_max NUMERIC
@ATTRIBUTE fluct_mean NUMERIC
@ATTRIBUTE key_mean NUMERIC
@ATTRIBUTE modality NUMERIC
@ATTRIBUTE sp_nov_mean NUMERIC
@ATTRIBUTE hcdf_mean NUMERIC
@ATTRIBUTE valence {-1, 1}

@DATA
21938285.2309,34254934.8118,9594350.9005,15765430.1653,1111.6922,407.1344,5.3779,-0.0051863,0.074033,1.0317,1
20462969.7548,31855204.3517,9051888.3862,14596764.0389,1189.6769,414.8054,5.1111,0.0073659,0.094304,1.1015,1
13498863.7525,25441601.3375,1515678.0875,16393025.3962,945.4995,379.0139,7.5161,-0.032492,0.055582,0.83305,1
16816086.737,25347788.0399,8263761.2975,11921160.8173,1022.1238,354.9938,4.5329,-0.052041,0.084184,1.0831,1
2873963.0232,4728005.2471,1014163.3246,3248864.7973,987.5041,287.5911,4.2306,0.046128,0.05948,0.57117,-1
11006210.8334,20231343.6656,1754223.6613,15378424.3215,918.4755,287.7905,4.9298,0.056101,0.065763,0.80254,-1
16754962.5856,28028362.6475,5424737.5875,17542600.0477,1058.9922,432.7961,6.7866,0.016881,0.11711,1.0195,1
14117962.9159,22935087.3667,5278850.8608,13942264.9828,951.5373,305.5624,7.0802,0.011084,0.058764,1.0071,-1
32220988.6056,52824286.3983,11559518.669,26988848.823,989.9155,449.0579,4.5483,-0.036484,0.07696,0.87718,-1
12177184.4275,20922180.4778,3401955.8033,14014375.1507,827.4713,351.4405,5.4859,-0.059094,0.082806,0.92381,-1
19052240.7337,31570760.1752,6497860.0382,19389451.5904,854.648,307.0686,7.6366,-0.015335,0.068859,1.0723,-1
37114113.8078,64269642.5614,9878689.6789,37159590.0154,1401.1927,480.9164,6.251,-0.018017,0.10812,1.0735,1
41741138.674,57535087.2837,25903749.4668,22082614.5979,1125.6869,498.6674,5.105,-0.02023,0.11048,0.82885,1
13751641.907,21278786.7693,6212307.9849,10350978.2939,963.6853,327.4491,7.1588,-0.0403,0.054319,1.0735,1
5576242.2032,9242204.828,1900735.2299,5492028.2813,686.6863,287.6519,7.2581,0.065687,0.058264,0.79738,1
9164344.0844,13915002.1841,4403991.9677,7074429.0567,1457.6305,361.7237,7.9655,0.0023758,0.049025,0.93976,-1
4357369.8512,7701659.347,1001508.9586,7753850.2752,1104.0581,364.4435,4.8119,-0.016163,0.078837,0.79948,-1
6132474.7961,10630070.3526,1614207.1663,7209455.4495,1084.9316,418.2107,7.4059,-0.043104,0.089843,0.84327,-1
4734034.9182,8383016.6222,1071082.9368,6221800.8564,1003.6427,333.7779,7.2419,-0.010301,0.053223,0.65456,-1
8780301.6886,16201960.622,1318768.0266,16811883.6025,1039.8802,369.1495,5.7276,-0.07371,0.11563,0.76363,-1
9318237.3968,16210496.6547,2397121.5587,11147626.2437,1901.8705,428.9872,5.9391,-0.021635,0.081391,0.6493,-1
26090070.8873,43567181.3057,8576723.8599,24571021.8134,788.6937,290.4009,6.5539,-0.012015,0.086563,0.97613,1
34515669.2176,55880234.9539,13085766.944,30705655.2471,1297.7476,523.9654,6.5628,-0.0099755,0.15154,0.93063,1
12276077.7669,22384303.9599,2120997.864,16439587.5912,1607.9355,406.9462,6.6488,0.035969,0.11695,1.0229,1
9601361.9208,16884483.8582,2293656.2157,11073220.1973,1869.0603,362.5212,5.6844,-0.00093574,0.059253,0.90239,1
9280458.9114,17157843.9605,1381130.6856,10811320.8861,1075.2637,297.67,7.1178,-0.019734,0.035699,0.97944,-1
4354505.3392,8380724.2592,293957.7433,10067548.6976,1716.3565,591.8759,7.0503,-0.0040432,0.079348,0.75761,-1
19717328.8162,31848590.3782,7561459.4749,16818350.3966,839.8098,294.7399,6.8947,-0.0055716,0.059487,0.75324,-1
22396784.335,33406304.9834,11366068.2955,16581621.7553,765.813,275.9583,4.7143,0.019093,0.10439,0.71785,-1
13579827.2384,21086221.5827,6060980.9246,10973645.1294,1861.5375,727.7299,6.1372,-0.03368,0.099462,0.91748,1
6283914.3443,11345284.644,1203954.9018,8689351.1411,1211.1153,345.759,8.3398,-0.038614,0.10116,0.88629,-1
